;order_id;customer_id;order_date;promised_delivery_time;actual_delivery_time;order_total;payment_method;number_product;total_Quantity;total_profit;feedback_id;rating;feedback_category;sentiment;feedback_date;customer_name;area;pincode;registration_date;customer_segment;total_orders;avg_order_value;delivery_partner_id;promised_time;actual_time;delivery_time_minutes;distance_km
0;2850500678;97145527;29/03/2024 01:27;29/03/2024 01:46;29/03/2024 01:59;4817.54;Cash;6;9;1.392.041;6256883;3;Product Quality;Neutral;29/03/2024 02:45;Xiti Joshi;Hosur;522684;27/08/2023;Premium;11;1298.98;32423;29/03/2024 01:46;29/03/2024 01:59;13.0;4.84
1;7171106490;45835229;17/08/2023 15:46;17/08/2023 15:59;17/08/2023 15:57;922.44;Cash;1;3;138.366;7054828;5;Delivery;Positive;17/08/2023 16:08;Zansi Hora;Rajkot;826821;16/07/2025;Regular;13;1691.43;2312;17/08/2023 15:59;17/08/2023 15:57;-2.0;1.49
2;3829771237;25578646;23/11/2023 23:46;24/11/2023 00:05;24/11/2023 00:08;4154.91;Cash;8;16;1.332.778;9923412;5;App Experience;Positive;24/11/2023 00:19;Urmi Seshadri;Nagpur;829840;25/09/2024;Inactive;8;1662.66;87568;24/11/2023 00:05;24/11/2023 00:08;3.0;4.08
3;459643984;68711385;17/07/2025 17:33;17/07/2025 17:51;17/07/2025 17:52;2682.11;Wallet;5;9;6.096.575;1122348;5;Customer Service;Positive;17/07/2025 18:35;Ganga Morar;Gurgaon;404615;29/11/2024;Regular;1;1615.63;96765;17/07/2025 17:51;17/07/2025 17:52;1.0;3.21
4;1316777473;52002897;16/12/2023 13:15;16/12/2023 13:34;16/12/2023 14:01;1861.67;Cash;3;9;5.426.245;7709233;2;Customer Service;Negative;16/12/2023 14:37;Nachiket Devan;Kanpur;213528;04/10/2023;New;17;456.76;43840;16/12/2023 13:34;16/12/2023 14:01;27.0;0.95
5;7511736375;68604506;12/06/2023 14:40;12/06/2023 14:54;12/06/2023 15:03;3615.89;UPI;6;14;7.111.785;6342798;3;Product Quality;Neutral;12/06/2023 15:57;Balveer Tandon;Sambalpur;257024;29/04/2024;Inactive;4;501.91;53285;12/06/2023 14:54;12/06/2023 15:03;9.0;2.46
6;9078729924;6283049;22/10/2024 20:51;22/10/2024 21:06;22/10/2024 21:01;3170.83;Cash;5;7;861.891;9880814;5;Customer Service;Positive;22/10/2024 21:38;Hemang Srivastava;Mathura;193017;10/07/2024;Premium;11;1728.46;34990;22/10/2024 21:06;22/10/2024 21:01;-5.0;3.44
7;3818630716;33845548;24/11/2024 01:43;24/11/2024 01:59;24/11/2024 01:58;3949.11;Wallet;8;17;12.628.345;9487139;5;Customer Service;Positive;24/11/2024 02:27;Max Raju;Kottayam;739229;25/05/2025;Regular;9;539.67;28841;24/11/2024 01:59;24/11/2024 01:58;-1.0;1.9
8;8585415558;19595742;02/07/2024 01:37;02/07/2024 01:54;02/07/2024 01:59;2852.03;Cash;4;7;8.473.145;5026321;4;Delivery;Positive;02/07/2024 02:47;Balhaar Banik;Panvel;484227;15/10/2025;New;7;1706.57;51303;02/07/2024 01:54;02/07/2024 01:59;5.0;1.27
9;3164636338;62866964;26/06/2025 07:47;26/06/2025 08:04;26/06/2025 07:59;2514.69;Cash;5;6;6.452.819.999.999.990;1801683;4;Product Quality;Positive;26/06/2025 08:47;Yashawini Yadav;Meerut;100320;10/09/2024;Regular;7;244.19;95460;26/06/2025 08:04;26/06/2025 07:59;-5.0;3.78
10;1069569617;89748638;29/12/2023 08:59;29/12/2023 09:15;29/12/2023 09:34;3043.32;Cash;5;9;10.470.835;6254418;1;Product Quality;Negative;29/12/2023 10:34;Victor Khosla;Ghaziabad;849942;09/12/2023;Inactive;13;1254.52;29913;29/12/2023 09:15;29/12/2023 09:34;19.0;4.0
